title,tomatometer,rating,released,genre,runtime
"
                Blood On The Mountain (2016)",90,None, (2016),"
                        Documentary"
"
                Doctor Strange (2016)",90,"PG-13 (for sci-fi violence and action throughout, and an intense crash sequence)", (2016),"
                        Action & Adventure"
"
                Moana (2016)",95,"PG (for peril, some scary images and brief thematic elements)", (2016),"
                        Action & Adventure"
"
                Sound of Redemption: The Frank Morgan Story (2015)",100,None, (2015),"
                        Documentary"
"
                The Brand New Testament (Le tout nouveau testament) (2016)",83,None, (2016),"
                        Comedy"
"
                Hacksaw Ridge (2016)",87,R (for intense prolonged realistically graphic sequences of war violence including grisly bloody images), (2016),"
                        Action & Adventure"
"
                Uncertain (2017)",100,None, (2017),"
                        Documentary"
"
                The Devil's Candy (2017)",93,None, (2017),"
                        Drama"
"
                Golden Kingdom (2016)",100,None, (2016),"
                        Drama"
"
                Tanna (2016)",88,None, (2016),"
                        Art House & International"
"
                Manchester by the Sea (2016)",96,R (for language throughout and some sexual content.), (2016),"
                        Drama"
"
                Christine (2016)",88,R (for a scene of disturbing violence and for language including some sexual references), (2016),"
                        Drama"
"
                Jackie (2016)",89,R (for brief strong violence and some language), (2016),"
                        Drama"
"
                The Edge of Seventeen (2016)",95,"R (for sexual content, language and some drinking - all involving teens)", (2016),"
                        Comedy"
"
                Fire at Sea (Fuocoammare) (2016)",93,None, (2016),"
                        Art House & International"
"
                Tower (2016)",100,None, (2016),"
                        Animation"
"
                From Nowhere (2017)",91,None, (2017),"
                        Drama"
"
                Always Shine (2016)",91,None, (2016),"
                        Drama"
"
                Being 17 (Quand on a 17 ans) (2016)",94,None, (2016),"
                        Comedy"
"
                Fences (2016)",93,"PG-13 (for thematic elements, language and some suggestive references)", (2016),"
                        Drama"
"
                Elle (2016)",90,"R (for violence involving sexual assault, disturbing sexual content, some grisly images, brief graphic nudity, and language)", (2016),"
                        Art House & International"
"
                Dying Laughing (2017)",80,None, (2017),"
                        Documentary"
"
                Arrival (2016)",94,PG-13 (for brief strong language), (2016),"
                        Drama"
"
                Moonlight (2016)",97,"R (for some sexuality, drug use, brief violence, and language throughout)", (2016),"
                        Drama"
"
                Tharlo (2016)",89,None, (2016),"
                        Drama"
"
                Seasons (Les saisons) (2016)",96,PG (for thematic elements and related images), (2016),"
                        Documentary"
"
                Creepy (Kuripi: Itsuwari no rinjin) (2016)",94,None, (2016),"
                        Drama"
"
                The Grace of Jake (2017)",80,None, (2017),"
                        Drama"
"
                The C Word (2016)",100,None, (2016),"
                        Documentary"
"
                I don't feel at home in this world anymore. (2017)",89,None, (2017),"
                        Drama"
"
                Deidra & Laney Rob a Train (2017)",93,None, (2017),"
                        Comedy"
"
                Burning Sands (2017)",84,None, (2017),"
                        Drama"
"
                Almayer's Folly (2012)",83,None, (2012),"
                        Drama"
"
                Finding Dory (2016)",94,PG (for mild thematic elements), (2016),"
                        Animation"
"
                Sausage Party (2016)",83,"R (for strong crude sexual content, pervasive language, and drug use)", (2016),"
                        Animation"
"
                Fort Tilden (2015)",87,"R (for language, sexual content, some graphic nudity and brief drug use)", (2015),"
                        Comedy"
"
                Don't Breathe (2016)",87,"R (for terror, violence, disturbing content, and language including sexual references)", (2016),"
                        Horror"
"
                Kubo and the Two Strings (2016)",97,"PG (for thematic elements, scary images, action and peril)", (2016),"
                        Action & Adventure"
"
                Pete's Dragon (2016)",87,"PG (for action, peril and brief language)", (2016),"
                        Kids & Family"
"
                Mia Madre (2016)",87,R (for language), (2016),"
                        Art House & International"
"
                For the Love of Spock (2016)",100,None, (2016),"
                        Documentary"
"
                Southside With You (2016)",91,"PG-13 (for brief strong language, smoking, a violent image and a drug reference)", (2016),"
                        Drama"
"
                Our Little Sister (Umimachi Diary) (2016)",93,PG (for thematic elements and brief language), (2016),"
                        Drama"
"
                Oddball and the Penguins (Oddball) (2015)",86,None, (2015),"
                        Action & Adventure"
"
                Heart of a Dog (2015)",97,None, (2015),"
                        Documentary"
"
                The Similars (Los Parecidos) (2016)",95,None, (2016),"
                        Art House & International"
"
                Mavis! (2016)",97,None, (2016),"
                        Documentary"
"
                Lo and Behold, Reveries of the Connected World (2016)",93,PG-13 (for brief strong language and some thematic elements), (2016),"
                        Documentary"
"
                Author: The JT LeRoy Story (2016)",80,"R (for language throughout, sexual content, some drug material and violent images)", (2016),"
                        Documentary"
"
                Equity (2016)",81,R (for language throughout), (2016),"
                        Drama"
"
                Little Men (2016)",98,"PG (for thematic elements, smoking and some language)", (2016),"
                        Drama"
"
                Kicks (2016)",84,"R (for vioelnce, drug/alcohol use and language throughout, and sexual content - involving teens)", (2016),"
                        Action & Adventure"
"
                Florence Foster Jenkins (2016)",87,PG-13 (for brief suggestive material), (2016),"
                        Comedy"
"
                Don't Think Twice (2016)",99,R (for language and some drug use), (2016),"
                        Comedy"
"
                Slash (2016)",94,None, (2016),"
                        Comedy"
"
                Harry Benson: Shoot First (2016)",85,None, (2016),"
                        Documentary"
"
                Hell or High Water (2016)",98,"R (for some strong violence, language throughout and brief sexuality)", (2016),"
                        Drama"
"
                Divines (2016)",86,None, (2016),"
                        Drama"
"
                Shelley (2016)",100,None, (2016),"
                        Horror"
"
                Olympic Pride, American Prejudice (2016)",100,None, (2016),"
                        Documentary"
"
                Blue Jay (2016)",93,None, (2016),"
                        Drama"
"
                The 24 Hour War (2016)",100,None, (2016),"
                        Documentary"
"
                Esteros (2016)",100,None, (2016),"
                        Drama"
